level1,level2,level3,url
alimentos y bebidas,licores,cerveza,https://www.larebajavirtual.com/catalogo/categoria/categoria/16
alimentos y bebidas,licores,vinos,https://www.larebajavirtual.com/catalogo/categoria/categoria/17
alimentos y bebidas,licores,whisky y vodka,https://www.larebajavirtual.com/catalogo/categoria/categoria/18
alimentos y bebidas,mercado,abarrotes,https://www.larebajavirtual.com/catalogo/categoria/categoria/42
alimentos y bebidas,mercado,carnes frias,https://www.larebajavirtual.com/catalogo/categoria/categoria/43
alimentos y bebidas,mercado,endulzantes,https://www.larebajavirtual.com/catalogo/categoria/categoria/44
alimentos y bebidas,mercado,enlatados y conservas,https://www.larebajavirtual.com/catalogo/categoria/categoria/45
alimentos y bebidas,mercado,leches,https://www.larebajavirtual.com/catalogo/categoria/categoria/46
alimentos y bebidas,mundo saludable,antojos,https://www.larebajavirtual.com/catalogo/categoria/categoria/36
alimentos y bebidas,mundo saludable,bebidas funcionales,https://www.larebajavirtual.com/catalogo/categoria/categoria/37
alimentos y bebidas,mundo saludable,bebidas nutricionales,https://www.larebajavirtual.com/catalogo/categoria/categoria/38
alimentos y bebidas,mundo saludable,despensa,https://www.larebajavirtual.com/catalogo/categoria/categoria/39
alimentos y bebidas,mundo saludable,lacteos,https://www.larebajavirtual.com/catalogo/categoria/categoria/40
alimentos y bebidas,para el bebe,alimentos lacteos,https://www.larebajavirtual.com/catalogo/categoria/categoria/26
alimentos y bebidas,para el bebe,cereales,https://www.larebajavirtual.com/catalogo/categoria/categoria/27
alimentos y bebidas,para el bebe,compotas,https://www.larebajavirtual.com/catalogo/categoria/categoria/28
aseo y hogar,cuidado de la ropa,blanqueadores/desmanchadores,https://www.larebajavirtual.com/catalogo/categoria/categoria/52
aseo y hogar,cuidado de la ropa,detergentes en polvo,https://www.larebajavirtual.com/catalogo/categoria/categoria/53
aseo y hogar,cuidado de la ropa,detergentes liquidos,https://www.larebajavirtual.com/catalogo/categoria/categoria/54
aseo y hogar,cuidado de la ropa,jabon en barra,https://www.larebajavirtual.com/catalogo/categoria/categoria/55
aseo y hogar,cuidado de la ropa,suavizantes,https://www.larebajavirtual.com/catalogo/categoria/categoria/56
aseo y hogar,cuidado de �la cocina,implementos de limpieza,https://www.larebajavirtual.com/catalogo/categoria/categoria/49
aseo y hogar,cuidado de �la cocina,lavaloza,https://www.larebajavirtual.com/catalogo/categoria/categoria/50
aseo y hogar,cuidado del ba�o,eliminador de olores,https://www.larebajavirtual.com/catalogo/categoria/categoria/58
aseo y hogar,cuidado del ba�o,papel higienico,https://www.larebajavirtual.com/catalogo/categoria/categoria/59
aseo y hogar,cuidado del hogar,ambientadores,https://www.larebajavirtual.com/catalogo/categoria/categoria/61
aseo y hogar,cuidado del hogar,ceras y betunes,https://www.larebajavirtual.com/catalogo/categoria/categoria/62
aseo y hogar,cuidado del hogar,ferreteria,https://www.larebajavirtual.com/catalogo/categoria/categoria/63
aseo y hogar,cuidado del hogar,iluminacion y electricos,https://www.larebajavirtual.com/catalogo/categoria/categoria/64
aseo y hogar,cuidado del hogar,implementos limpieza,https://www.larebajavirtual.com/catalogo/categoria/categoria/65
aseo y hogar,cuidado del hogar,ver m�s...,https://www.larebajavirtual.com/catalogo/division/division/60
aseo y hogar,revistas y periodicos,periodicos,https://www.larebajavirtual.com/catalogo/categoria/categoria/75
aseo y hogar,revistas y periodicos,revistas,https://www.larebajavirtual.com/catalogo/categoria/categoria/76
aseo y hogar,varios,encendedores,https://www.larebajavirtual.com/catalogo/categoria/categoria/70
aseo y hogar,varios,pilas y cargadores,https://www.larebajavirtual.com/catalogo/categoria/categoria/71
aseo y hogar,varios,utensilios y papeles desechables,https://www.larebajavirtual.com/catalogo/categoria/categoria/72
aseo y hogar,varios,papeleria y oficina,https://www.larebajavirtual.com/catalogo/categoria/categoria/73
bebe,alimentacion,alimentos lacteos,https://www.larebajavirtual.com/catalogo/categoria/categoria/128
bebe,alimentacion,cereales,https://www.larebajavirtual.com/catalogo/categoria/categoria/129
bebe,alimentacion,compotas,https://www.larebajavirtual.com/catalogo/categoria/categoria/130
bebe,alimentacion,crecimiento,https://www.larebajavirtual.com/catalogo/categoria/categoria/634
bebe,cuidado de la colita,cremas,https://www.larebajavirtual.com/catalogo/categoria/categoria/132
bebe,cuidado de la colita,unguento,https://www.larebajavirtual.com/catalogo/categoria/categoria/133
bebe,cuidado de la colita,vaselina,https://www.larebajavirtual.com/catalogo/categoria/categoria/134
bebe,estuches,baby,https://www.larebajavirtual.com/catalogo/categoria/categoria/136
bebe,estuches,recien nacido,https://www.larebajavirtual.com/catalogo/categoria/categoria/137
bebe,formulas infantiles,inicio,https://www.larebajavirtual.com/catalogo/categoria/categoria/855
bebe,formulas infantiles,continuacion,https://www.larebajavirtual.com/catalogo/categoria/categoria/856
bebe,formulas infantiles,crecimiento,https://www.larebajavirtual.com/catalogo/categoria/categoria/857
bebe,formulas infantiles,especializada,https://www.larebajavirtual.com/catalogo/categoria/categoria/858
bebe,humectacion,aceites,https://www.larebajavirtual.com/catalogo/categoria/categoria/159
bebe,humectacion,cremas liquidas,https://www.larebajavirtual.com/catalogo/categoria/categoria/160
bebe,jugueteria,jugueter�a,https://www.larebajavirtual.com/catalogo/categoria/categoria/647
bebe,maternidad,accesorios,https://www.larebajavirtual.com/catalogo/categoria/categoria/162
bebe,maternidad,mordederas y entretenimiento,https://www.larebajavirtual.com/catalogo/categoria/categoria/163
bebe,maternidad,cuidado del bebe,https://www.larebajavirtual.com/catalogo/categoria/categoria/164
bebe,maternidad,accesorios alimentarios,https://www.larebajavirtual.com/catalogo/categoria/categoria/165
bebe,maternidad,teteros y chupos,https://www.larebajavirtual.com/catalogo/categoria/categoria/166
bebe,pa�ales,entrenamiento,https://www.larebajavirtual.com/catalogo/categoria/categoria/142
bebe,pa�ales,etapa 0,https://www.larebajavirtual.com/catalogo/categoria/categoria/143
bebe,pa�ales,etapa 1,https://www.larebajavirtual.com/catalogo/categoria/categoria/144
bebe,pa�ales,etapa 2,https://www.larebajavirtual.com/catalogo/categoria/categoria/145
bebe,pa�ales,etapa 3,https://www.larebajavirtual.com/catalogo/categoria/categoria/146
bebe,pa�ales,ver m�s...,https://www.larebajavirtual.com/catalogo/division/division/141
bebe,pa�itos humedos,premium,https://www.larebajavirtual.com/catalogo/categoria/categoria/139
bebe,pa�itos humedos,basicos,https://www.larebajavirtual.com/catalogo/categoria/categoria/140
bebe,rutina del ba�o,acondicionador baby,https://www.larebajavirtual.com/catalogo/categoria/categoria/151
bebe,rutina del ba�o,shampo baby,https://www.larebajavirtual.com/catalogo/categoria/categoria/152
